video,message_count,boy_avg_words,two_beat,mechanics,first_boy,first_girl,last_boy
"Viral_video_one.mp4",4,6.00,0,"two_beat_innuendo|screenshot_punchline","are u still mad?","yes","I know 70 ways to make you happy"
"Viral_video_two.mp4",2,3.00,0,"","Burger or Pizza?","Burger??","Burger or Pizza?"
"Viral_video_three.mp4",2,4.00,0,"","do you like water?","yeah why","do you like water?"
"Viral_video_four.mp4",2,3.00,0,"two_beat_innuendo","matcha n missionary?","???","matcha n missionary?"
"Viral_video_five.mp4",2,4.00,0,"two_beat_innuendo","Your body is tea","Ah okay thanks","Your body is tea"
"Viral_video_six.mp4",7,8.00,0,"accuse_generic","You ever get tired of breaking necks when you post?","you don’t even know me","Acknowledgment’s a formality. Interest speaks louder."
"Viral_video_8.mp4",1,8.00,0,"","You just ruined the beach for everyone else","","You just ruined the beach for everyone else"
"Viral_video_20.mp4",30,5.00,0,"puzzle_math_trick|screenshot_punchline","roses are red","that was so sweet","drop your number"
"Viral_video_21.mp4",1,10.00,0,"presumption_reveal","I would never play hide and seek with you 🥺","","I would never play hide and seek with you 🥺"
"Viral_video_22.mp4",13,7.20,0,"two_beat_innuendo|accuse_generic|screenshot_punchline","can I use your thighs as earmuffs??","hmmm…","you mean it for real?"
"Viral_video_23.mp4",5,4.50,0,"presumption_reveal","Quick question","Because my parents are strict: (","Why don’t you have a boyfriend? 🥺"
"Viral_video_24.mp4",4,4.00,0,"","do you like water?","yeah why","do you like water?"
"Viral_video_25.mp4",4,5.00,0,"puzzle_math_trick","You the first 10/10 i ever seen","You misunderstood me","yeah yu right"
"Viral_video_33.mp4",27,5.56,0,"","If it ain’t rice then it ain’t nice","","Never mind"
